Bloco ;Bairro;Região;Data;Data Relativa;Concentração;Desfile;Final;Local da Concentraçao;Percurso;Público Estimado;Ano do primeiro desfile;
Bloco da Apuração dos Embaixadores da Folia;Lapa;Centro;14/02/2018;Quarta-feira de Cinzas;14:00:00;17:00:00;18:30:00;Av. Gomes Freire, em frente ao nº 533;Parado;500;2001;
Chave de Ouro;Engenho de Dentro;Zona Norte 2;14/02/2018;Quarta-feira de Cinzas;15:00:00;16:00:00;18:00:00;Rua Adolfo Bergamini (Chave de Ouro);Rua Adolfo Bergamini, Rua Ana Leonidia , Rua Dr. Bulhões, Rua Borja Reis e Rua Adolfo Bergamini, voltando ao Chave de Ouro;800;2014;
Guri da Merck;Taquara;Barra/JPA;14/02/2018;Quarta-feira de Cinzas;16:00:00;19:00:00;22:00:00;Praça Albert Sabin (Praça da Merck);PARADO;1.000;2013;
Me Enterra na Quarta;Santa Teresa;Centro;14/02/2018;Quarta - Feira de Cinzas;15:30:00;17:00:00;21:30:00;Praça Odílio Costa;Segue pela Rua Áurea até Rua Alm. Alexandrino, Rua Joaquim Murtinho e Largo do Curvello.;1.500;2003;
Os Filhos da P!;Lagoa ;Zona Sul;14/02/2018;Quarta-feira de Cinzas;14:00:00;15:00:00;20:00:00;Parque das Figueiras ;PARADO;5.000;2016;
Planta na Mente;Lapa;Centro;14/02/2018;Quarta-feira de Cinzas;15:20:00;16:20:00;21:20:00;Praça Cardeal Câmara (Arcos da Lapa);Rua dos Arcos, Rua do Lavradio, Rua do Senado, Rua Pedro I, Rua Visconde do Rio Branco e Praça Tiradentes;1.000;2011;
Bangay Folia;Padre Miguel;Zona Oeste;16/02/2018;Sexta-feira após o Carnaval;16:00:00;20:00:00;22:00:00;Rua Sidney com Rua Figueiredo Camargo ;Rua Sidney com Figueiredo Camargo, Rua Figueiredo Camargo com Ponto Chic, Rua Figueiredo Camargo com Rua D ;500;2017;
Bloco Confetes e Serpentinas ;Pedra de Guaratiba;Zona Oeste;16/02/2018;sexta-feira  pós carnaval;19:00:00;20:00:00;22:00:00;Praça Dr. Raul Capello Barrozo;Parado;1500;2016;
Bloco do Brow;Ilha do Governador;Zona Norte 3;16/02/2018;Sexta-feira após o Carnaval;18:00:00;18:00:00;22:00:00;Praça Iaiá Garcia;Parado;1.500;2015;
Só Tamborins;Lapa;Centro;16/02/2018;Sexta-feira após o Carnaval;18:00:00;20:00:00;22:00:00;Travessa do Mosqueira, esquina com Rua Visconde de Maranguape;Rua Visconde de Maranguape, Rua da Lapa, Rua da Glória, seguindo até o Largo da Glória;2.500;2007;
Bafafá;Ipanema ;Zona Sul;17/02/2018;Sábado após o Carnaval;09:00:00;09:00:00;13:00:00;Praia de Ipanema, Posto 9;PARADO;20.000;2003;
Banda da Penha ;Penha;Zona Norte 2;17/02/2018;Terça-feira de Carnaval;16:00:00;20:00:00;22:00:00;Largo da Rua Couto ;Parado;1.000;2014;
Banda de Ipanema - HOMENAGEM;Ipanema ;Zona Sul;17/02/2018;Sábado após o Carnaval;15:00:00;17:30:00;21:00:00;Praca General Osório;Praça General Osório - Parado;5.000;1965;
Banda Devassa;Penha;Zona Norte 1;17/02/2018;Sábado após o Carnaval;16:00:00;20:00:00;22:00:00;Rua Patagônia;Rua Patagônia, Rua Quito, Rua Montevidéu, Rua Nicarágua e Rua Patagônia;4.000;2011;
Bater Funk;Recreio dos Bandeirantes;Barra/JPA;17/02/2018;Sábado após o Carnaval;13:00:00;14:00:00;17:00:00;Posto 10 do Recreio;Avenida Lucio Costa dos Postos 10 ao 09;5.000;2018;
Berço do Samba;Lapa;Centro;17/02/2018;Sábado após o Carnaval;16:00:00;20:00:00;22:00:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;5.000;2006;
Bloco da Ressaca;Pedra de Guaratiba;Zona Oeste;17/02/2018;Sábado Após o Carnaval  ;17:00:00;20:00:00;22:00:00;Rua Barros de Alarcão - Praça São Pedro;Rua Barros de Alarcão N283 até 464;300;2007;
Bloco das Poderosas;Centro;Centro;17/02/2018;Sábado após o Carnaval;07:00:00;09:00:00;13:00:00;Av. Pres. Antonio Carlos em frente ao Terminal Menezes Cortes;Segue pela Av. Pres. Antonio Carlos até o Ministerio da Fazenda.;200.000;2016;
Bloco EVA;Barra da Tijuca;Barra/JPA;17/02/2018;Sábado após o Carnaval;10:00:00;12:00:00;16:00:00;Arena Blocos;Parado;10.000;2018;
Chulé de Santa;Santa Teresa;Centro;17/02/2018;Sábado depois do Carnaval;10:00:00;12:00:00;15:00:00;Largo do Curvelo;Parado;200;2017;
Ciganas Feiticeiras de Olaria;Olaria;Zona Norte 3;17/02/2018;Sábado após o Carnaval;17:00:00;19:00:00;21:00:00;Rua Paranhos, esquina com João Rego;Rua João Rego, Rua Delfim Carlos, Rua Paranhos até origem.;1.000;1995;
É Pequeno mas não amolece;Recreio dos Bandeirantes;Barra/JPA;17/02/2018;Sábado após o Carnaval;14:00:00;16:00:00;20:00:00;Praça Professor Henrique Niremberg;Praça Professor Henrique Niremberg, Rua Professora Isolina Sartore, Rua Joaquim da Silveira, José Afonso Neto e Praça Professor Henrique Niremberg;500;2009;
Eu Amo Cerveja;Lapa;Centro;17/02/2018;Sábado após o Carnaval;13:00:00;13:00:00;17:00:00;Praça Cardeal Câmara (Arcos da Lapa);Parado;1.000;2017;
Fuzuê... Só Alegria Pra Você!;Del Castilho;Zona Norte 2;17/02/2018;Sábado após o Carnaval;16:00:00;18:00:00;22:00:00;Rua Chapadinha, nº 02;Rua Chapadinha, Rua Lagoa Verde, Rua Lagoa Clara, Rua Lagoa Redonda, Rua Chapadinha e Rua Palmeira do Norte;2.000;2004;
GRBC Deixa Que Eu Te Atravesso;Brás de Pina;Zona Norte 1;17/02/2018;Sábado após o Carnaval;14:00:00;17:00:00;20:00:00;Rua Rio Preto;Rua Rio Preto, Rua Brasiléia, Rua Alm. Ingran Margini, Rua Dezoito de Setembro, Rua Valdemar Magrini, até Rua Rio Preto;1.000;2016;
Mistura de Santa;Santa Teresa;Centro;17/02/2018;Sábado após o Carnaval;17:00:00;18:00:00;22:00:00;Mirante do Rato Molhado;Segue pela Rua Aprazível até dispersar na lateral do Castelo São Valentim na parte alta da Rua Almirante Alexandrino.;500;2014;
Mulheres de Chico;Leme ;Zona Sul;17/02/2018;Sábado após o Carnaval;15:00:00;15:00:00;20:00:00;Praia do Leme, próximo ao Costão;Parado;50.000;2007;
O Fervo;Estácio;Centro;17/02/2018;Sábado após o Carnaval;14:00:00;18:00:00;20:00:00;Rua Maia de Lacerda;Rua Maia de Lacerda, da esquina da Rua Estácio de Sá até a Rua Sampaio Ferraz e termina na rua Quintino do Vale;500;2016;
Os 300;Padre Miguel;Zona Oeste;17/02/2018;Sábado Após o Carnaval  ;16:30:00;17:00:00;22:00:00;Largo da Tapiranga;Largo da Tapiranga, Rua Maria Rosa, Rua Japeju, Rua Tapiranga e Largo da Tapiranga;1.000;2014;
Pela Saco;Botafogo ;Zona Sul;17/02/2018;Sábado após o Carnaval;17:00:00;18:00:00;21:00:00;Praça Corumbá;Praça Corumbá, Rua São Clemente, Rua Real Grandeza, Rua Voluntários da Pátria, Rua da Matriz e Praça Corumbá;5.000;2001;
Quizomba;Lapa;Centro;17/02/2018;Sábado após o Carnaval;09:00:00;10:00:00;15:00:00;Rua do Riachuelo  nº7;Rua Riachuelo, Av. Mem de Sá, Rua Teixeira de Freitas, Av. Augusto Severo;5.000;2002;
Se Essa Rua Fosse Minha;Flamengo ;Zona Sul;17/02/2018;Sábado após o Carnaval;10:00:00;12:00:00;16:00:00;Praça Sandro Moreira;PARADO;1.500;2017;
Sem Saída;Botafogo ;Zona Sul;17/02/2018;Sábado após o Carnaval;14:00:00;16:00:00;20:00:00;Rua General Severiano, em frente ao nº 70;Rua General Severiano, Rua Venceslau Brás, Av. Pasteur e Rua Bartolomeu Portela;1.200;2009;
Sepulta Carnaval;Engenho de Dentro;Zona Norte 2;17/02/2018;Sábado após o Carnaval;14:00:00;17:00:00;20:00:00;Rua Ana Leonídia, esquina com Dr. Bulhões;Rua Ana Leonídia, Rua Dr. Bulhões, Rua Borja Reis, Rua Adolfo Bergamini, Rua Pernambuco, Rua Dr. Bulhões e Rua Ana Leonídia;1.000;2003;
Sufridos de Copacabana;Copacabana ;Zona Sul;17/02/2018;Sábado após o Carnaval;16:00:00;16:00:00;22:00:00;Praça Manuel Campos da Paz (Rua Iangá);Parado;400;2009;
Superbacana;Tijuca ;Tijuca e Adj;17/02/2018;Sábado após o Carnaval;14:00:00;16:00:00;19:00:00;Praça Afonso Pena;Parado;600;2017;
Unidos do Caraxué;Ilha de Paquetá;Centro;17/02/2018;sabado - pós carnval ;15:00:00;16:00:00;18:00:00;Rua cerqueira 74 ;Rua cerqueira 74 até a praia dos coqueiros, Esquerda na Rua padre juvenal, termino no praça são roque;100;2015;
Vaca Atolada dos Embaixadores da Folia;Lapa;Centro;17/02/2018;Sábado após o Carnaval;14:00:00;17:00:00;18:30:00;Av. Gomes Freire, em frente ao nº 533;Parado;800;2001;
Vem Comigo Cachaçada;Ilha do Governador;Zona Norte 3;17/02/2018;Sábado após o Carnaval;13:00:00;17:00:00;19:00:00;Rua Paramopama, em frente ao restaurante Bom Demais;Rua Paramopama, do Restaurante Bom Demais até a Praça da Ribeira, contornando a Praça e voltando ao local de concentração;1.500;2007;
7 de Paus;Vila isabel ;Tijuca e Adj;18/02/2018;Domingo após o Carnaval;16:00:00;20:00:00;22:00:00;Av. 28 de Setembro c/ Rua Visc. De Abaeté;Boulevard 28 de Setembro, da Rua Visconde de Abaeté até a Praça Barão de Drummond;1.000;2007;
Aí Sim;Tijuca ;Tijuca e Adj;18/02/2018;Sábado após o Carnaval;14:00:00;14:00:00;18:00:00;Praça Xavier de Brito;Parado;800;2017;
Bangay Folia;Bangu;Zona Oeste;18/02/2018;Domingo após o Carnaval;16:00:00;20:00:00;22:00:00;Rua 12 de Fevereiro / Santa Cecília ;Rua 12 de Fevereiro, Rua Santa Cecília, Rua Bangu;500;2017;
Bloco Galasextou;São Cristóvão;Centro;18/02/2018;Domingo após o Carnaval;16:00:00;20:00:00;22:00:00;Rua General Almerio de Moura (estacionamento);Segue Rua Teixeira Junior, Rua São Januário, Rua Francisco Palheta, Rua Ricardo Machado e retorna ao destino. ;1.500;2017;
Boêmios da Lapa;Lapa;Centro;18/02/2018;Sexta-feira de Carnaval;14:00:00;14:00:00;18:00:00;Rua Joaquim Silva;Parado;1.000;2003;
Boka de Espuma;Botafogo ;Zona Sul;18/02/2018;Domingo após o Carnaval;16:00:00;18:00:00;22:00:00;Rua Marquês de Olinda, esquina com Rua Bambina;Rua Marquês de Olinda, Rua Muniz Barreto, Rua São Clemente, Rua Bambina e Rua Marquês de Olinda;30.000;1984;
Bonde da Folia;Santa Teresa;Centro;18/02/2018;Domingo após o Carnaval;12:00:00;14:00:00;18:00:00;Rua Fonseca Guimarães;Rua Fonseca Guimarães, Rua Paschoal Carlos Magno, Rua almirante Alexandrino, Rua Dias de Barros e Largo do Curvelo;500;2009;
Broxadão;Copacabana ;Zona Sul;18/02/2018;Domingo após o Carnaval;14:00:00;16:00:00;18:00:00;Avenida Atlântica, esquina com Rua Figueiredo de Magalhães;Avenida Atlântica, da Figueiredo de Magalhães até a República do Peru, retornando ao local de concentração;700;2010;
Conjunto Habitacional Barangal;Ipanema ;Zona Sul;18/02/2018;Domingo após o Carnaval;09:00:00;10:30:00;15:00:00;Avenida Vieira Souto, em frente ao Posto 9;Avenida Vieira Souto, do Posto 9 a Sala Cecília Meirelles, retornando ao Posto 9;150;2002;
Fofoqueiros de Plantão;Jardim Botânico ;Zona Sul;18/02/2018;Domingo após o Carnaval;10:00:00;12:00:00;16:00:00;Rua Jardim Botânico, esquina com Rua Pacheco Leão;Segue pela Rua Jardim Botânico até a Pracá Santos Dumont;5.000;2008;
Giro do Arar;Madureira;Zona Norte 1;18/02/2018;Domingo pós carnaval ;09:00:00;11:00:00;15:00:00;Parque Madureira;Parque Madureira;10.000;2013;
Monobloco;Aterro do Flamengo;Zona Sul;18/02/2018;Domingo após o Carnaval;06:00:00;09:00:00;12:00:00;Aterro do Flamengo, altura da Praça Luis de Camões - Coreto Modernista;Segue pelo Aterro do Flamengo, com dispersão na Av. Infante Dom Henrique 85 aterro do Flamengo;200.000;2000;
Papudinho do Rio Comprido;Rio Comprido;Centro;18/02/2018;Domingo após o Carnaval;12:00:00;14:00:00;20:00:00;Praça Condessa Paulo de Frontin;Praça Condessa Paulo de Frontin, Rua Estrela, Rua Itapiru, Rua Caetano Martins, Rua Campos da Paz, Rua Aristides Lobo e Praça Condessa Paulo de Frontin;100;1994;
Quem Vai Vai, Quem Não Vai Não Cagueta!;Ilha do Governador;Zona Norte 3;18/02/2018;Domingo após o Carnaval;18:00:00;18:00:00;21:00:00;Praça Jerusalém;Praça Jerusalem, Praia da Bica até Quiosque do Mexicano;1.000;2010;
Seu Veneno Me Alimenta ;Recreio dos Bandeirantes;Barra/JPA;18/02/2018;Domingo após o Carnaval;13:00:00;14:00:00;19:00:00;Posto 10 do Recreio;Posto 10 do Recreio ao Posto 9.;5.000;2018;
Tamo Junto in Folia;Padre Miguel;Zona Oeste;18/02/2018;Domingo após o Carnaval;16:00:00;18:00:00;22:00:00;Rua Figueiredo Camargo com Rua Irerê;Parado;60.000;2005;
Tô no Recreio ;Recreio dos Bandeirantes;Barra/JPA;18/02/2018;Domingo após o Carnaval;16:00:00;16:00:00;19:00:00;Avenida Lucio Costa, em frente ao Posto 10;Avenida Lucio Costa, do Posto 10 até entrada da Praia da Reserva;1.000;2009;
União dos Blocos da Ilha do Governador;Ilha do Governador;Zona Norte 3;18/02/2018;Domingo após o Carnaval;10:00:00;10:00:00;16:00:00;Praça Iaiá Garcia;PARADA;2.000;2010;
Virilha de Minhoca;Bangu;Zona oeste;18/02/2018;Sábado Após o Carnaval;18:00:00;19:00:00;22:00:00;Rua Fonseca 1078;Rua fonseca, rua oliveira ribeiro, Av. Cônego de Vasconcelos, Rua Santa Cecilia, Rua Fonseca;6.000;2002;
